0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
;Наим-е подвески;точки подв-ки 1Б.Р;;Точка подв-ки 2;;Точки подв-ки 3.4;;Точки подв-ки 5.6;;точки подв-ки 7.8;;точки подв-ки 9.10;;Точки подв-ки 11.12;
1;Подвеска Р-73Э;-----;;-----;;0;0;362;14.192;210;13.711;-----;;-----;
;1;;;;;51;13.028;52;14.362;на ВСУ;;;;;
;АПУ-73 (П72-1ДБ-2);;;;;50;13.016;100;14.35;;;;;;
;Ракета Р-73Э (105 кг);;;;;105;12.74;210;14.074;;;;;;
2;Подвеска К-74М;-----;;-----;;438;12.859;388;14.193;212;13.683;-----;;-----;
;1;;;;;102;13.028;52;14.362;на ВСУ;;;;;
;АПУ-760;;;;;124;12.97;124;14.302;;;;;;
;Ракета К-74М (106 кг);;;;;212;12.712;212;14.088;;;;;;
3;Подвеска К-77-1;522;10.329;522;15.233;576;12.823;526;14.138;-----;;510;11.484;580;12.345
;1;;;;;102;13.028;52;14.362;;;36;11.715;106;12.548
;2;48;10.555;48;15.459;;;;;;;;;;
;АКУ-170Е;124;10.58;124;15.484;124;13.053;124;14.387;;;124;11.74;124;12.574
;Ракета К-77-1;350;10.209;350;15.113;350;12.682;350;14.016;;;350;11.369;350;12.202
4;Подв-а Р-27ЭР1;453;10.505;453;15.411;928;13.039;-----;;-----;;942;11.675;932;12.559
;1;;;;;102;13.028;;;;;36;11.715;106;12.548
;АПУ-470М;;;;;140;13.028;;;;;;;140;12.548
;АКУ-470;110;10.555;110;15.459;;;;;;;220;11.715;;
;Ракета Р-27ЭР1;343;10.489;343;15.395;686;13.043;;;;;686;11.66;686;12.563
5;ПодвескаР-27ЭТ1;-----;;-----;;942;13.079;-----;;-----;;-----;;946;12.598
;1;;;;;102;13.028;;;;;;;106;12.548
;АПУ-470М;;;;;140;13.028;;;;;;;140;12.548
;Ракета Р-27ЭТ1;;;;;700;13.096;;;;;;;700;12.616
6;Подвеска Р-27ЭП1;-----;;-----;;926;13.078;-----;;-----;;-----;;930;12.598
;1;;;;;102;13.028;;;;;;;106;12.548
;АПУ-470М;;;;;140;13.028;;;;;;;140;12.548
;Ракета Р-27ЭП1;;;;;684;13.096;;;;;;;684;12.616
7;Подвеска ОФАБ-250-270 (ФАБ-250ТС);1824;10.605;1824;15.509;3700;13.078;-----;;-----;;2534;11.775;2604;12.597
;1;25;10.555;25;15.459;102;13.028;;;;;36;11.715;106;12.548
;МБД3-У6-68;149;10.605;149;15.509;298;13.078;;;;;298;11.765;298;12.598
;ОФАБ-250-270;275;10.606;275;15.51;275;13.079;;;;;275;11.777;275;12.599
8;Подвеска ОФАБ-250-М62 (ФАБ-250-М62Т);912;10.331;912;15.235;1876;12.81;-----;;-----;;1810;11.5;1388;12.576
;1;25;10.555;25;15.459;102;13.028;;;;;36;11.715;106;12.548
;МБД3-У6-68;149;10.605;149;15.509;298;13.078;;;;;298;11.765;298;12.598
;ФАБ-250-М62;246;10.268;246;15.172;246;12.741;;;;;246;11.441;246;12.573
9;Подвеска РБК-250-275АО-1сч;1017;10.324;1017;15.228;2086;12.803;-----;;-----;;1458;11.753;1528;12.576
;1;25;10.555;25;15.459;102;13.028;;;;;36;11.715;106;12.548
;МБД3-У6-68;149;10.605;149;15.509;298;13.078;;;;;298;11.765;298;12.598
;РБК-250-275АО-1сч;281;10.268;281;15.172;281;12.741;;;;;281;11.751;281;12.573
10;Подвеска ФАБ-500М-62 (ОДАБ-500ПМ. ФЗАБ-500М);603;10.555;603;15.459;2508;12.937;-----;;-----;;1192;11.727;1262;12.548
;2;;;;;196;13.037;;;;;;;;
;1;25;10.555;25;15.459;;;;;;;36;11.715;106;12.548
;БД3-УСКМ;53;10.555;53;15.459;212;12.928;;;;;106;11.715;106;12.548
;ФАБ-500М-62;525;10.555;525;15.459;2100;12.928;;;;;1050;11.729;1050;12.548
11;Подвеска ФАБ-500М-54 (ФАБ-500Т. ФАБ-500АТ);578;10.555;578;15.459;2408;12.937;-----;;-----;;1142;11.727;1212;12.548
;2;;;;;196;13.037;;;;;;;;
;1;25;10.555;25;15.459;;;;;;;36;11.715;106;12.548
;БД3-УСКМ;53;10.555;53;15.459;212;12.928;;;;;106;11.715;106;12.548
;ФАБ-500М-54;500;10.555;500;15.459;2000;12.928;;;;;1000;11.729;1000;12.548
12;Плдвеска ОДАБ-500П;563;10.556;563;15.46;2348;12.938;-----;;-----;;1112;11.729;1182;12.549
;2;;;;;196;13.037;;;;;;;;
;1;25;10.555;25;15.459;;;;;;;36;11.715;106;12.548
;БД3-УСКМ;53;10.555;53;15.459;212;12.928;;;;;106;11.715;106;12.548
;ОДАБ-500П;485;10.556;485;15.46;1940;12.929;;;;;970;11.731;970;12.549
13;Подвеска БЕТАБ-500ШП;458;10.601;458;15.505;1928;12.982;-----;;-----;;902;11.771;972;12.591
;2;;;;;196;13.037;;;;;;;;
;1;25;10.555;25;15.459;;;;;;;36;11.715;106;12.548
;БД3-УСКМ;53;10.555;53;15.459;212;12.928;;;;;106;11.715;106;12.548
;БЕТАБ-500ШП;380;10.61;380;15.514;1520;12.983;;;;;760;11.782;760;12.603
14;Подвеска КАБ-250ЛГ;358;10.555;358;15.459;768;13.028;-----;;-----;;702;11.725;772;12.548
;1;25;10.555;25;15.459;102;13.028;;;;;36;11.715;106;12.548
;БД3-УСКМ;53;10.555;53;15.1459;106;13.028;;;;;106;11.715;106;12.548
;КАБ-250ЛГ;280;10.555;280;15.459;560;13.028;;;;;560;11.727;560;12.548
15;Подвеска КАБ-500КР (С);608;10.556;608;15.46;1268;13.029;-----;;-----;;1202;11.726;1272;12.549
;1;25;10.555;25;15.459;102;13.028;;;;;36;11.715;106;12.548
;БД3-УСКМ;53;10.555;53;15.459;106;13.028;;;;;106;11.715;106;12.548
;КАБ-500КР (С);530;10.556;530;15.46;1060;13.029;;;;;1060;11.728;1060;12.549
16;Подвеска КАБ-500ОД;448;10.556;448;15.46;948;13.029;-----;;-----;;882;11.726;952;12.549
;1;25;10.555;25;15.459;102;13.028;;;;;36;11.715;106;12.548
;БД3-УСКМ;53;10.555;53;15.459;106;13.028;;;;;106;11.715;106;12.548
;КАБ-500ОД;370;10.556;370;15.46;740;13.029;;;;;740;11.728;740;12.549
17;Подвеска КАБ-1500КР (ЛГ);1695;10.536;-----;;-----;;-----;;-----;;-----;;3446;12.53
;1;25;10.555;;;;;;;;;;;106;12.548
;БД4-УСКМ;95;10.555;;;;;;;;;;;190;12.548
;КАБ-1500КР (ЛГ);1575;10.535;;;;;;;;;;;3150;12.528
18;Подвеска ракет Х-29Л;-----;;-----;;1872;12.745;-----;;-----;;1806;11.433;1876;12.265
;1;;;;;102;13.028;;;;;36;11.715;106;12.548
;АКУ-58АЭ;;;;;370;13.128;;;;;370;11.815;370;12.648
;Ракера Х-29Л;;;;;1400;12.623;;;;;1400;11.325;1400;12.143
19;Подвеска ракет Х-31А;-----;;-----;;1692;12.656;-----;;-----;;1626;11.339;1696;12.177
;1;;;;;102;13.028;;;;;36;11.715;106;12.548
;АКУ-58АЭ;;;;;370;13.128;;;;;370;11.815;370;12.648
;Ракера Х-31А;;;;;1220;12.482;;;;;1220;11.183;1220;12.002
20;Подвеска ракет Х-31П;-----;;-----;;1672;12.693;-----;;-----;;1606;11.377;1676;12.214
;1;;;;;102;13.028;;;;;36;11.715;106;12.548
;АКУ-58АЭ;;;;;370;13.128;;;;;370;11.815;370;12.648
;Ракета Х-31П;;;;;1200;12.531;;;;;1200;11.232;1200;12.051
21;Подвеска ракет Х-31ПМ;-----;;-----;;1852;12.652;-----;;-----;;1786;11.336;1856;12.173
;1;;;;;102;13.028;;;;;36;11.715;106;12.548
;АКУ-58АЭ;;;;;370;13.128;;;;;370;11.815;370;12.648
;Ракета Х-31ПМ;;;;;1380;12.497;;;;;1380;11.198;1380;12.017
22;Подвеска ракет Х-35У;746;10.426;-----;;1544;12.903;-----;;-----;;-----;;1548;12.424
;1;25;10.555;;;102;13.028;;;;;;;106;12.548
;АКУ-58АЭ;185;10.655;;;370;13.128;;;;;;;370;12.648
;Ракета Х-35У;536;10.341;;;1072;12.814;;;;;;;1072;12.334
23;Подвеска ракет Х-59М2А;1130;11.191;-----;;2312;12.734;-----;;-----;;-----;;2316;12.255
;1;25;10.555;;;102;13.028;;;;;;;106;12.548
;АКУ-58АЭ;185;10.655;;;370;13.128;;;;;;;370;12.648
;Ракета х-59М2А;920;11.316;;;1840;12.639;;;;;;;1840;12.159
24;Подвеска ракет Х-58УШК;856;10.29;-----;;1764;12.771;-----;;-----;;-----;;1768;12.291
;1;25;10.555;;;102;13.028;;;;;;;106;12.548
;АКУ-58АЭ;185;10.655;;;370;13.128;;;;;;;370;12.648
;Ракета Х-58УШК;646;10.175;;;1292;12.648;;;;;;;1292;12.168
25;Подвеска С-8;-----;;-----;;2228;13.033;-----;;-----;;-----;;1122;12.643
;1;;;;;;;;;;;;;106;12.548
;2;;;;;196;13.037;;;;;;;;
;БД3-УСКМ;;;;;216;12.928;;;;;;;108;12.548
;Пусковое устройство Б8М-1;;;;;600;12.923;;;;;;;300;12.543
;Снаряды С-8БМ. С-8Т (полная зарядка);;;;;1216;13.106;;;;;;;608;12.726
26;Подвеска С-13;-----;;-----;;2552;12.956;-----;;-----;;-----;;1248;12.567
;1;;;;;;;;;;;;;106;12.548
;2;;;;;196;13.037;;;;;;;;
;БД3-УСКМ;;;;;216;12.928;;;;;;;108;12.548
;Пусковое устройство Б13Л;;;;;640;13.118;;;;;;;320;12.738
;Снаряды С-13Т (полная зарядка);;;;;1500;12.88;;;;;;;750;12.5
27;Подвеска С-25ОФМ;-----;;-----;;2416;12.883;-----;;-----;;-----;;1216;12.494
;1;;;;;;;;;;;;;106;12.548
;2;;;;;196;13.037;;;;;;;;
;БД3-УСКМ;;;;;216;12.928;;;;;;;108;12.548
;Пусковое устройство О-25Л;;;;;284;13.577;;;;;;;142;13.197
;Снаряды С-25ОФМ;;;;;1720;12.745;;;;;;;860;12.365
28;Подвеска С-25ЛД;-----;;-----;;1276;12.944;-----;;-----;;-----;;1280;12.464
;1;;;;;102;13.028;;;;;;;106;12.548
;БД3-УСКМ;;;;;108;13.028;;;;;;;108;12.548
;Пусковое устройсиво О-25Л;;;;;106;13.677;;;;;;;106;13.197
;снаряды С-25ЛД;;;;;960;12.845;;;;;;;960;12.365
